0.171,7.5594,4.1812,131.93
0.172,6.9031,4.1186,132.15
0.173,4.6622,4.0112,132.24
0.174,7.2419,4.0035,132.35
0.175,2.8578,3.8573,132.22
0.176,3.5944,3.7423,132.23
0.177,0.93878,3.4699,132.24
0.178,5.1323,3.3411,132.35
0.179,1.9647,3.3423,132.52
0.18,0.25931,3.3847,132.6
0.181,-0.89473,3.1734,132.57
0.182,6.4017,3.1999,132.61
0.183,4.1402,3.0421,132.82
0.184,4.751,2.8414,132.96
0.185,3.0236,2.585,132.88
0.186,4.8497,2.4333,132.88
0.187,3.3261,2.3908,133.03
0.188,2.9067,2.46,133.05
0.189,-1.08,2.3721,133.11
0.19,-0.83637,2.3627,133.09
0.191,-4.7199,2.5412,133.04
0.192,8.1453,2.4261,133
0.193,1.1196,2.3995,133.08
0.194,0.23491,2.3144,132.95
0.195,-0.10236,2.3563,132.87
0.196,4.818,2.3399,132.95
0.197,9.8673,2.3629,132.97
0.198,1.8504,2.2771,133.1
0.199,3.4065,2.23,133
0.2,3.0161,2.1346,132.9
0.201,5.0632,1.8475,132.98
0.202,2.7485,1.7438,133.06
0.203,-2.1103,1.6378,133.11
0.204,1.5794,1.6717,133.24
0.205,-3.8883,1.576,133.47
0.206,5.2359,1.6724,133.59
0.207,3.2324,1.7448,133.37
0.208,-0.59602,1.6955,133.41
0.209,2.659,1.4812,133.35
0.21,3.923,1.4508,133.44
0.211,2.8976,1.3012,133.47
0.212,3.9657,1.1879,133.64
0.213,3.0816,1.1183,133.67
0.214,2.3822,1.0239,133.51
0.215,5.33,1.0151,133.41
0.216,2.858,1.0566,133.42
0.217,-4.3663,1.0524,133.38
0.218,-2.1172,0.99745,133.44
0.219,3.0406,0.88442,133.6
0.22,-0.79705,0.94521,133.4
0.221,-5.4053,1.0602,133.45
0.222,4.462,1.1335,133.48
0.223,-0.41258,0.93749,133.6
0.224,2.6436,0.96718,133.42
0.225,0.73807,0.72016,133.47
0.226,-0.54085,0.73071,133.57
0.227,5.0974,0.68877,133.6
0.228,-3.9267,0.64204,133.54
0.229,2.1321,0.8072,133.63
0.23,-1.2231,0.9429,133.67
0.231,7.0981,0.88754,133.75
0.232,0.9192,0.93959,133.75
0.233,-3.9308,0.9605,133.74
0.234,-2.5439,0.86394,133.69
0.235,-2.2717,0.7971,133.71
0.236,2.3412,0.75602,133.81
0.237,2.37,0.78731,133.81
0.238,-6.5054,0.70131,133.81
0.239,-1.6595,0.72288,133.63
0.24,5.7936,0.85064,133.81
0.241,0.28612,0.72257,133.75
0.242,3.1736,0.71812,133.76
0.243,1.8972,0.71065,133.87
0.244,2.1659,0.72433,133.84
0.245,2.6077,0.80102,133.99
0.246,-1.1362,0.62108,134.19
0.247,8.4595,0.66928,133.92
0.248,-0.52824,0.53956,133.87
0.249,3.699,0.5674,133.77
0.25,0.69895,0.36459,133.78
0.251,1.3779,0.3453,133.6
0.252,-0.48036,0.27027,133.68
0.253,1.1947,0.37344,133.75
0.254,2.6178,0.40994,133.74
0.255,-0.03828,0.33076,133.73
0.256,-1.4549,0.30373,133.7
0.257,3.8837,0.37653,133.85
0.258,1.4995,0.25298,133.87
0.259,2.3223,0.18116,133.86
0.26,3.006,0.10338,133.86
0.261,1.5853,0.11718,133.97
0.262,0.66776,0.067886,134.12
0.263,-3.2705,-0.056158,134.04
0.264,0.44558,-0.26266,134.03
0.265,1.252,-0.17519,134.07
0.266,0.81814,-0.22099,133.96
0.267,-2.0791,-0.24753,133.96
0.268,-2.1609,-0.2312,134.06
0.269,0.1175,-0.45018,134.02
0.27,-0.33118,-0.28889,133.98
0.271,3.2669,-0.19468,134.04
0.272,-2.0847,-0.24944,134.09
0.273,-1.8024,-0.20425,134.21
0.274,-1.8504,-0.024511,134.2
0.275,-1.3768,0.059985,134.1
0.276,2.0368,0.040798,134.02
0.277,2.6354,0.15881,133.95
0.278,-2.6379,0.072437,134.01
0.279,-1.2854,0.0049963,134.12
0.28,-3.2463,-0.094124,134.12
0.281,-5.7592,-0.25465,134.09
0.282,-2.6663,-0.23552,133.84
0.283,0.03317,-0.22602,133.8
0.284,0.24815,-0.30067,133.81
0.285,3.4292,-0.3216,134.16
0.286,-6.0867,-0.19355,134.16
0.287,0.54747,-0.25131,134.1
0.288,2.2541,-0.29768,134.11
0.289,0.18252,-0.29336,133.98
0.29,3.5879,-0.2137,133.83
0.291,-1.6263,-0.17385,133.76
0.292,-0.43983,-0.037014,133.75
0.293,-3.3351,-0.066882,133.78
0.294,-0.23854,-0.0092344,134.12
0.295,-2.3512,-0.052815,134.2
0.296,-0.50694,-0.097251,134.18
0.297,0.26896,-0.053782,134.23
0.298,-1.0311,-0.12758,134.19
0.299,7.3977,-0.13494,134.33
0.3,1.1897,-0.17857,134.33
0.301,-0.49161,-0.025149,134.35
0.302,0.8054,0.028926,134.21
0.303,-1.9446,-0.00045538,134.04
0.304,-1.9792,-0.0082653,134.03
0.305,-3.9282,0.081893,134.05
0.306,1.9751,-0.037271,134.13
0.307,-0.90502,-0.09723,134.03
0.308,4.6639,-0.081905,134.04
0.309,2.5251,0.087894,133.96
0.31,2.1919,0.19823,134.05
0.311,-1.8006,0.25305,134.02
0.312,2.3763,0.28854,134.09
0.313,1.613,0.1416,134.05
0.314,-0.5813,0.1539,134.02
0.315,-0.71157,0.078292,134.13
0.316,-3.0912,-0.017896,134.15
0.317,2.7959,0.021476,134.13
0.318,0.66708,-0.099065,134.11
0.319,1.5755,-0.15299,134.11
0.32,4.0565,-0.24013,134.16
0.321,-1.3902,-0.20566,133.97
0.322,3.2485,-0.001229,133.9
0.323,0.16504,-0.0084897,133.82
0.324,-1.0411,-0.009241,133.89
0.325,-3.8941,-0.12284,133.85
0.326,1.8313,0.070862,133.92
0.327,-0.98252,0.19969,133.92
0.328,-1.2953,0.004384,134.07
0.329,1.5041,0.068746,134.06
0.33,2.2283,0.063365,133.99
0.331,5.59,0.22627,133.87
0.332,3.5207,0.4309,133.95
0.333,1.5868,0.34125,134.03
0.334,0.41159,0.47386,134.15
